metric,mean,std,ci_lower,ci_upper,margin_error
app_utilization,0.166674018332994,0.009591100255687058,0.15981295852906174,0.17353507813692626,0.006861059803932271
app_avg_queue_length,0.03323138925989487,0.008609985429682035,0.02707217672231284,0.0393906017974769,0.006159212537582028
app_avg_response_time,0.019804098769943084,0.001361716796997487,0.01882998525521061,0.020778212284675558,0.0009741135147324747
app_throughput,10.103333333333333,0.3440678945344692,9.857201988849233,10.349464677817434,0.24613134448410037
db_utilization,0.23834950350990267,0.015904848061964665,0.22697186061008098,0.24972714640972435,0.01137764289982169
db_avg_queue_length,0.07878299912301846,0.015083680209385645,0.06799278431751479,0.08957321392852213,0.010790214805503672
db_avg_response_time,0.04417980879827478,0.0042282535555685,0.0411550984170291,0.04720451917952046,0.0030247103812456795
db_throughput,7.053333333333333,0.41742893237082523,6.754722663802523,7.351944002864142,0.2986106695308096
system_avg_end_to_end_time,0.05158866370775865,0.0035641879799530023,0.049038997222058636,0.054138330193458664,0.0025496664857000114
system_throughput,10.096666666666668,0.34190822535864973,9.85208025644214,10.341253076891196,0.2445864102245278
total_requests,606.4,20.67311727286859,591.6113427905466,621.1886572094534,14.788657209453385
completed_requests,605.8,20.514493521518983,591.1248153865283,620.4751846134716,14.675184613471664
cache_hit_rate,0.30179331432323864,0.022873233969120308,0.28543078844114134,0.31815584020533594,0.0163625258820973
cache_hits,182.7,11.460560389633851,174.501608978779,190.898391021221,8.198391021220996
cache_misses,423.5,25.18928343562,405.48067213743155,441.51932786256845,18.019327862568467
cache_server_utilization,0.009648178449530576,0.0009657413153208818,0.00895732873021752,0.010339028168843632,0.0006908497193130558
cache_server_avg_response_time,0.0032025114836602294,0.00019341733957548569,0.003064149054057014,0.0033408739132634447,0.00013836242960321555
