metric,mean,std,ci_lower,ci_upper,margin_error
app_utilization,0.9996611142537185,0.00020762746517356514,0.9995125865126337,0.9998096419948033,0.00014852774108476338
app_avg_queue_length,4206.345435017234,53.96331365091101,4167.74240592704,4244.948464107429,38.60302909019405
app_avg_response_time,21.009668711162682,0.2998725317402216,20.795152824666108,21.224184597659256,0.21451588649657521
app_throughput,59.750000000000014,0.7710422639774718,59.19842959165484,60.301570408345185,0.5515704083451691
db_utilization,0.9976548346799852,0.0017054430924520214,0.9964348341860295,0.9988748351739408,0.0012200004939556645
db_avg_queue_length,329.6573119993459,26.73924131132529,310.52921106640065,348.78541293229114,19.128100932945262
db_avg_response_time,7.847050322804312,0.6315306653391376,7.395280500010548,8.298820145598075,0.45176982279376326
db_throughput,30.225,0.3331712568931379,29.98666364050468,30.463336359495322,0.23833635949532153
system_avg_end_to_end_time,22.289369849562075,0.3056684830115246,22.0707077892968,22.50803190982735,0.2186620602652737
system_throughput,48.28166666666667,0.6701045615848249,47.80230274080268,48.761030592530666,0.4793639258639934
total_requests,12011.9,116.66995233468545,11928.439343876053,12095.360656123947,83.46065612394769
completed_requests,2896.9,40.206273695089486,2868.1381644481603,2925.66183555184,28.7618355518396
cache_hit_rate,0.30222951567213424,0.007495838376714201,0.29686731592317933,0.30759171542108915,0.005362199748954932
cache_hits,1083.6,34.140884581393024,1059.1770824381497,1108.0229175618501,24.422917561850337
cache_misses,2501.4,34.22864297631444,2476.914303864284,2525.885696135716,24.485696135715823
cache_server_utilization,0.059377042452509035,0.002772989453747343,0.05739336529653804,0.06136071960848003,0.001983677155970996
cache_server_avg_response_time,0.0035113497301346303,0.00010533965897159088,0.003435994277614846,0.0035867051826544145,7.535545251978414e-05
