metric,mean,std,ci_lower,ci_upper,margin_error
app_utilization,0.8307461439895814,0.01960880941689092,0.8167188467549993,0.8447734412241634,0.014027297234582113
app_avg_queue_length,3.958857991148876,0.7824451729231108,3.399130433141088,4.518585549156664,0.5597275580077883
app_avg_response_time,0.09545062096597562,0.014734749152192405,0.08491001640194895,0.10599122553000229,0.010540604564026675
app_throughput,50.06666666666667,1.0162871179803672,49.33965865835243,50.79367467498091,0.7270080083142425
db_utilization,0.9943549529810921,0.004763397752512534,0.9909474235028629,0.9977624824593213,0.003407529478229179
db_avg_queue_length,141.33208813488704,18.59439157531951,128.0304617088308,154.63371456094328,13.30162642605622
db_avg_response_time,4.050482863842912,0.5104617668155623,3.6853205137083895,4.415645213977434,0.36516235013452214
db_throughput,29.981666666666666,0.5206507087230624,29.6092155865739,30.35411774675943,0.3724510800927664
system_avg_end_to_end_time,2.787195293616864,0.3435333234386963,2.541446358257866,3.0329442289758615,0.24574893535899747
system_throughput,45.11333333333334,0.8008406077443524,44.540446473987515,45.68622019267916,0.5728868593458217
total_requests,3007.4,62.09526730937086,2962.9797217010496,3051.8202782989506,44.42027829895045
completed_requests,2706.8,48.050436464661225,2672.4267884392507,2741.1732115607497,34.37321156074936
cache_hit_rate,0.30214662931213054,0.01137959325159774,0.29400615869226177,0.3102870999319993,0.008140470619868752
cache_hits,907.9,45.093606346502526,875.6419772841098,940.1580227158902,32.25802271589022
cache_misses,2096.1,42.83417638599657,2065.4582761099546,2126.7417238900453,30.64172389004532
cache_server_utilization,0.05022527555001122,0.003026360865859436,0.04806034740460582,0.052390203695416616,0.0021649281454054
cache_server_avg_response_time,0.003504369497518773,0.00015165179432088773,0.0033958843391458026,0.0036128546558917432,0.00010848515837297035
